abbr,r2,r
COSTT4_A,1,1
TUITIONFEE_IN,0.9418259412347344,0.9704771719287035
NPT45_PUB,0.907380867109789,0.9525654135595041
NPT4_75UP_PUB,0.8983141972204982,0.9477943855185565
NPT44_PUB,0.8659783059131722,0.9305795537798862
NPT4_PUB,0.8513248512498274,0.9226726674448676
TUITIONFEE_OUT,0.8313080692936261,0.911760971578421
NPT43_PUB,0.7931006497557294,0.8905619853529171
NPT4_3075_PUB,0.7628555389774571,0.8734160171289836
NPT42_PUB,0.683045723541559,0.8264658030079399
NPT4_048_PUB,0.6636481662421918,0.8146460373942733
NPT41_PUB,0.6246982625745396,0.7903785564996938
TUITFTE,0.590144742289762,0.7682087882143512
NPT45_PRIV,0.5808307409514619,0.7621225235823056
DEP_DEBT_MDN,0.5487927169418699,0.7408054514795838
NOPELL_DEBT_MDN,0.5304544831474629,0.7283230623476528
NOTFIRSTGEN_DEBT_MDN,0.5250525159124343,0.7246050758257454
NPT4_75UP_PRIV,0.5231058565268252,0.7232605730487631
DEBT_MDN_SUPP,0.5099424946882789,0.7141025799479224
MALE_DEBT_MDN,0.5086252596315753,0.7131796825706516
DEBT_MDN,0.5083723530220279,0.7130023513439685
CUML_DEBT_P10,0.5078758316369285,0.7126540757176153
NPT4_PRIV,0.5075257326508625,0.7124084029900704
CUML_DEBT_P25,0.5060419573507972,0.7113662610433511
MD_INC_DEBT_MDN,0.5017712993031268,0.7083581716216216
FEMALE_DEBT_MDN,0.5014065233341168,0.7081006449185856
HI_INC_DEBT_MDN,0.49646068512190633,0.7045996630157485
PELL_DEBT_MDN,0.48777443262588,0.6984084998236204
FIRSTGEN_DEBT_MDN,0.4836794255709266,0.6954706504022485
LO_INC_DEBT_MDN,0.4590038168758513,0.677498204334042
C100_4,0.450829985161631,0.6714387426725025
FAMINC,0.4496785334767299,0.6705807434431218
INC_PCT_H2,0.44791092002283533,0.669261473583259
APPL_SCH_PCT_GE5,0.44141574867212485,0.6643912617367306
DEP_INC_AVG,0.420286763519338,0.6482952749475643
APPL_SCH_PCT_GE4,0.4078503114261946,0.638631592881369
PELL_EVER,0.40636493987913724,-0.6374675990818178
MD_FAMINC,0.39230901835507465,0.6263457658155555
NUM45_PUB,0.3691457593020668,0.6075736657410908
APPL_SCH_PCT_GE3,0.3663262610407105,0.6052489248571289
C150_4_POOLED_SUPP,0.36363730866606586,0.6030234727322527
LOAN_EVER,0.35736403539125067,0.5977993270247556
CCUGPROF,0.35730387478184616,0.597749006508456
