full,abbr
Unit ID for institution,UNITID
8-digit OPE ID for institution,OPEID
6-digit OPE ID for institution,OPEID6
Institution name,INSTNM
City,CITY
State postcode,STABBR
ZIP code,ZIP
Accreditor for institution,ACCREDAGENCY
URL for institution's homepage,INSTURL
URL for institution's net price calculator,NPCURL
Predominant degree awarded (recoded 0s and 4s),SCH_DEG
Schools that are on Heightened Cash Monitoring 2 by the Department of Education,HCM2
Flag for main campus,MAIN
Number of branch campuses,NUMBRANCH
"Predominant undergraduate degree awarded
 0 Not classified
 1 Predominantly certificate-degree granting
 2 Predominantly associate's-degree granting
 3 Predominantly bachelor's-degree granting
 4 Entirely graduate-degree granting",PREDDEG
"Highest degree awarded
 0 Non-degree-granting
 1 Certificate degree
 2 Associate degree
 3 Bachelor's degree
 4 Graduate degree",HIGHDEG
Control of institution,CONTROL
FIPS code for state,ST_FIPS
Region (IPEDS),REGION
Locale of institution,LOCALE
Degree of urbanization of institution,LOCALE2
Latitude,LATITUDE
Longitude,LONGITUDE
Carnegie Classification -- basic,CCBASIC
Carnegie Classification -- undergraduate profile,CCUGPROF
Carnegie Classification -- size and setting,CCSIZSET
Flag for Historically Black College and University,HBCU
Flag for predominantly black institution,PBI
Flag for Alaska Native Native Hawaiian serving institution,ANNHI
Flag for tribal college and university,TRIBAL
Flag for Asian American Native American Pacific Islander-serving institution,AANAPII
Flag for Hispanic-serving institution,HSI
Flag for Native American non-tribal institution,NANTI
Flag for men-only college,MENONLY
Flag for women-only college,WOMENONLY
Religous affiliation of the institution,RELAFFIL
Admission rate,ADM_RATE
Admission rate for all campuses rolled up to the 6-digit OPE ID,ADM_RATE_ALL
25th percentile of SAT scores at the institution (critical reading),SATVR25
75th percentile of SAT scores at the institution (critical reading),SATVR75
25th percentile of SAT scores at the institution (math),SATMT25
75th percentile of SAT scores at the institution (math),SATMT75
25th percentile of SAT scores at the institution (writing),SATWR25
75th percentile of SAT scores at the institution (writing),SATWR75
Midpoint of SAT scores at the institution (critical reading),SATVRMID
Midpoint of SAT scores at the institution (math),SATMTMID
Midpoint of SAT scores at the institution (writing),SATWRMID
25th percentile of the ACT cumulative score,ACTCM25
75th percentile of the ACT cumulative score,ACTCM75
25th percentile of the ACT English score,ACTEN25
75th percentile of the ACT English score,ACTEN75
25th percentile of the ACT math score,ACTMT25
75th percentile of the ACT math score,ACTMT75
25th percentile of the ACT writing score,ACTWR25
75th percentile of the ACT writing score,ACTWR75
Midpoint of the ACT cumulative score,ACTCMMID
Midpoint of the ACT English score,ACTENMID
Midpoint of the ACT math score,ACTMTMID
Midpoint of the ACT writing score,ACTWRMID
Average SAT equivalent score of students admitted,SAT_AVG
Average SAT equivalent score of students admitted for all campuses rolled up to the 6-digit OPE ID,SAT_AVG_ALL
"Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences.",PCIP01
Percentage of degrees awarded in Natural Resources And Conservation.,PCIP03
Percentage of degrees awarded in Architecture And Related Services.,PCIP04
"Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies.",PCIP05
"Percentage of degrees awarded in Communication, Journalism, And Related Programs.",PCIP09
Percentage of degrees awarded in Communications Technologies/Technicians And Support Services.,PCIP10
Percentage of degrees awarded in Computer And Information Sciences And Support Services.,PCIP11
